,time,price_back,size_back,price_lay,size_lay,total_back,total_lay,trade
0,2020-03-24 13:44:14.904,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
1,2020-03-24 13:44:14.982,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
2,2020-03-24 13:44:15.228,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
3,2020-03-24 13:44:15.498,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
4,2020-03-24 13:44:15.773,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
5,2020-03-24 13:44:16.042,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
6,2020-03-24 13:44:16.314,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
7,2020-03-24 13:44:16.593,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
8,2020-03-24 13:44:16.873,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
9,2020-03-24 13:44:17.142,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
10,2020-03-24 13:44:17.416,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
11,2020-03-24 13:44:17.692,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
12,2020-03-24 13:44:17.950,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
13,2020-03-24 13:44:18.226,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
14,2020-03-24 13:44:18.498,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
15,2020-03-24 13:44:18.769,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
16,2020-03-24 13:44:19.043,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
17,2020-03-24 13:44:19.314,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
18,2020-03-24 13:44:19.589,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
19,2020-03-24 13:44:19.862,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
20,2020-03-24 13:44:20.129,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
21,2020-03-24 13:44:20.405,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
22,2020-03-24 13:44:20.673,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
23,2020-03-24 13:44:20.952,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
24,2020-03-24 13:44:21.222,23.0,33.8,24.0,16.35,777.4,-392.40000000000003,0.0
25,2020-03-24 13:44:21.489,23.0,30.12,24.0,16.35,692.76,-392.40000000000003,0.0
26,2020-03-24 13:44:21.766,23.0,30.12,24.0,16.35,692.76,-392.40000000000003,0.0
27,2020-03-24 13:44:22.040,23.0,30.12,24.0,16.35,692.76,-392.40000000000003,0.0
28,2020-03-24 13:44:22.304,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
29,2020-03-24 13:44:22.572,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
30,2020-03-24 13:44:22.841,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
31,2020-03-24 13:44:23.112,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
32,2020-03-24 13:44:23.386,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
33,2020-03-24 13:44:23.667,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
34,2020-03-24 13:44:23.938,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
35,2020-03-24 13:44:24.215,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
36,2020-03-24 13:44:24.486,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
37,2020-03-24 13:44:24.759,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
38,2020-03-24 13:44:25.022,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
39,2020-03-24 13:44:25.292,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
40,2020-03-24 13:44:25.560,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
41,2020-03-24 13:44:25.829,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
42,2020-03-24 13:44:26.102,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
43,2020-03-24 13:44:26.375,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
44,2020-03-24 13:44:26.643,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
45,2020-03-24 13:44:26.920,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
46,2020-03-24 13:44:27.190,23.0,36.12,24.0,16.35,830.76,-392.40000000000003,0.0
