,time,price_back,size_back,price_lay,size_lay,total_back,total_lay,trade
0,2020-03-24 13:44:14.904,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
1,2020-03-24 13:44:14.982,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
2,2020-03-24 13:44:15.228,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
3,2020-03-24 13:44:15.498,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
4,2020-03-24 13:44:15.773,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
5,2020-03-24 13:44:16.042,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
6,2020-03-24 13:44:16.314,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
7,2020-03-24 13:44:16.593,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
8,2020-03-24 13:44:16.873,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
9,2020-03-24 13:44:17.142,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
10,2020-03-24 13:44:17.416,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
11,2020-03-24 13:44:17.692,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
12,2020-03-24 13:44:17.950,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
13,2020-03-24 13:44:18.226,12.5,102.79,13.0,170.51,1284.875,-2216.63,0.0
14,2020-03-24 13:44:18.498,12.5,97.23,13.0,170.51,1215.375,-2216.63,0.0
15,2020-03-24 13:44:18.769,12.5,97.23,13.0,170.51,1215.375,-2216.63,0.0
16,2020-03-24 13:44:19.043,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
17,2020-03-24 13:44:19.314,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
18,2020-03-24 13:44:19.589,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
19,2020-03-24 13:44:19.862,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
20,2020-03-24 13:44:20.129,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
21,2020-03-24 13:44:20.405,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
22,2020-03-24 13:44:20.673,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
23,2020-03-24 13:44:20.952,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
24,2020-03-24 13:44:21.222,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
25,2020-03-24 13:44:21.489,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
26,2020-03-24 13:44:21.766,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
27,2020-03-24 13:44:22.040,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
28,2020-03-24 13:44:22.304,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
29,2020-03-24 13:44:22.572,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
30,2020-03-24 13:44:22.841,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
31,2020-03-24 13:44:23.112,12.5,97.23,13.0,182.51,1215.375,-2372.63,0.0
