time,price_back,size_back,price_lay,size_lay,total_back,total_lay
2020-03-24 13:44:14.904,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:14.982,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:15.228,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:15.498,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:15.773,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:16.042,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:16.314,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:16.593,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:16.873,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:17.142,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:17.416,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:17.692,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:17.950,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:18.226,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:18.498,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:18.769,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:19.043,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:19.314,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:19.589,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:19.862,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:20.129,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:20.405,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:20.673,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:20.952,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:21.222,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:21.489,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:21.766,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:22.040,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:22.304,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:22.572,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:22.841,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:23.112,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:23.386,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:23.667,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:23.938,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:24.215,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:24.486,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:24.759,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:25.022,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:25.292,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:25.560,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:25.829,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:26.102,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:26.375,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:26.643,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:26.920,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:27.190,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:27.553,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:27.818,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:28.086,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:28.359,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:28.634,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:28.911,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:29.186,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:29.461,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:29.729,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:29.993,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:30.264,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:30.531,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:30.809,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:31.082,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:31.355,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:31.623,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:31.893,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:32.162,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:32.436,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:32.711,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:32.983,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:33.226,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:33.461,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:33.727,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:33.996,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:34.267,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:34.536,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:34.808,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:35.080,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:35.349,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:35.618,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:35.892,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:36.154,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:36.417,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:36.682,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:36.951,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:37.220,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:37.491,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:37.762,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:38.036,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:38.305,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:38.574,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:38.848,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:39.116,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:39.382,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:39.647,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:39.914,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:40.187,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:40.456,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:40.726,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:40.986,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:41.229,730.0,3.18,890.0,5.33,2321.4,-4743.7
2020-03-24 13:44:41.487,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:41.754,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:42.023,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:42.292,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:42.564,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:42.833,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:43.102,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:43.373,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:43.648,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:43.919,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:44.192,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:44.464,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:44.731,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:44.998,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:45.267,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:45.534,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:45.807,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:46.075,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:46.337,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:46.602,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:46.870,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:47.144,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:47.415,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:47.682,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:47.952,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
2020-03-24 13:44:48.223,730.0,3.18,850.0,2.22,2321.4,-1887.0000000000002
