placedDate,instruction.side,instruction.limitOrder.price,instruction.selectionId,instruction.limitOrder.size,trade_all
2020-03-24 13:57:05+00:00,LAY,300.0,27915468.0,1.05,315.0
2020-03-24 13:57:05+00:00,LAY,290.0,27915468.0,1.05,304.5
2020-03-24 13:57:05+00:00,LAY,280.0,27915468.0,1.05,294.0
2020-03-24 13:57:07+00:00,LAY,310.0,27915468.0,1.11,344.1
2020-03-24 13:57:07+00:00,LAY,300.0,27915468.0,0.06,18.0
2020-03-24 13:57:07+00:00,LAY,290.0,27915468.0,0.06,17.4
2020-03-24 13:57:13+00:00,LAY,310.0,27915468.0,0.04,12.4
2020-03-24 13:57:13+00:00,LAY,300.0,27915468.0,0.04,12.0
2020-03-24 13:57:13+00:00,LAY,290.0,27915468.0,0.04,11.6
2020-03-24 13:57:30+00:00,LAY,320.0,27915468.0,1.14,364.79999999999995
2020-03-24 13:57:33+00:00,LAY,330.0,27915468.0,1.23,405.9
2020-03-24 13:57:33+00:00,LAY,320.0,27915468.0,0.09,28.799999999999997
2020-03-24 13:57:33+00:00,LAY,310.0,27915468.0,0.08,24.8
2020-03-24 13:57:41+00:00,LAY,340.0,27915468.0,1.26,428.4
2020-03-24 13:57:41+00:00,LAY,330.0,27915468.0,0.04,13.200000000000001
2020-03-24 13:57:41+00:00,LAY,320.0,27915468.0,0.04,12.8
2020-03-24 13:57:46+00:00,LAY,340.0,27915468.0,0.04,13.6
2020-03-24 13:57:49+00:00,LAY,340.0,27915468.0,0.2,68.0
2020-03-24 13:57:49+00:00,LAY,330.0,27915468.0,0.23,75.9
2020-03-24 13:57:49+00:00,LAY,320.0,27915468.0,0.23,73.60000000000001
2020-03-24 13:57:54+00:00,LAY,340.0,27915468.0,0.42,142.79999999999998
2020-03-24 13:57:54+00:00,LAY,330.0,27915468.0,0.42,138.6
2020-03-24 13:57:54+00:00,LAY,320.0,27915468.0,0.42,134.4
2020-03-24 13:57:54+00:00,LAY,350.0,27915468.0,2.07,724.5
2020-03-24 13:57:54+00:00,LAY,340.0,27915468.0,0.15,51.0
2020-03-24 13:57:54+00:00,LAY,330.0,27915468.0,0.15,49.5
2020-03-24 13:57:58+00:00,LAY,350.0,27915468.0,0.13,45.5
2020-03-24 13:57:58+00:00,LAY,340.0,27915468.0,0.13,44.2
2020-03-24 13:57:58+00:00,LAY,330.0,27915468.0,0.13,42.9
2020-03-24 13:57:58+00:00,LAY,360.0,27915468.0,1.71,615.6
2020-03-24 13:58:00+00:00,LAY,370.0,27915468.0,1.1,407.00000000000006
2020-03-24 13:58:01+00:00,LAY,360.0,27915468.0,0.18,64.8
2020-03-24 13:58:01+00:00,LAY,340.0,27915468.0,1.89,642.6
2020-03-24 13:58:03+00:00,LAY,360.0,27915468.0,1.99,716.4
2020-03-24 13:58:03+00:00,LAY,340.0,27915468.0,0.1,34.0
2020-03-24 13:58:04+00:00,LAY,330.0,27915468.0,1.77,584.1
2020-03-24 13:58:09+00:00,LAY,370.0,27915468.0,0.76,281.2
2020-03-24 13:58:09+00:00,LAY,360.0,27915468.0,0.76,273.6
2020-03-24 13:58:10+00:00,LAY,340.0,27915468.0,1.69,574.6
2020-03-24 13:58:10+00:00,LAY,330.0,27915468.0,1.69,557.6999999999999
2020-03-24 13:58:20+00:00,LAY,350.0,27915468.0,0.06,21.0
2020-03-24 13:58:22+00:00,LAY,320.0,27915468.0,1.04,332.8
2020-03-24 13:58:29+00:00,LAY,310.0,27915468.0,0.95,294.5
2020-03-24 13:58:33+00:00,LAY,310.0,27915468.0,0.1,31.0
2020-03-24 13:58:34+00:00,LAY,300.0,27915468.0,0.34,102.00000000000001
2020-03-24 13:58:37+00:00,LAY,300.0,27915468.0,0.07,21.000000000000004
2020-03-24 13:58:37+00:00,LAY,300.0,27915468.0,0.27,81.0
2020-03-24 13:58:38+00:00,LAY,300.0,27915468.0,0.06,18.0
2020-03-24 13:58:40+00:00,LAY,290.0,27915468.0,0.71,205.89999999999998
2020-03-24 13:58:40+00:00,LAY,280.0,27915468.0,0.71,198.79999999999998
2020-03-24 13:58:40+00:00,LAY,270.0,27915468.0,0.28,75.60000000000001
