time,price_back,size_back,price_lay,size_lay,total_back,total_lay
2020-03-24 13:44:14.904,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:14.982,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:15.228,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:15.498,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:15.773,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:16.042,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:16.314,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:16.593,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:16.873,290.0,4.0,300.0,2.34,1160.0,-702.0
2020-03-24 13:44:17.142,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:17.416,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:17.692,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:17.950,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:18.226,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:18.498,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:18.769,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:19.043,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:19.314,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:19.589,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:19.862,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:20.129,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:20.405,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:20.673,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:20.952,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:21.222,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:21.489,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:21.766,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:22.040,290.0,4.14,300.0,2.34,1200.6,-702.0
2020-03-24 13:44:22.304,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:22.572,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:22.841,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:23.112,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:23.386,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:23.667,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:23.938,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:24.215,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:24.486,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:24.759,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:25.022,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:25.292,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:25.560,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:25.829,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:26.102,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:26.375,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:26.643,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:26.920,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:27.190,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:27.553,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:27.818,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:28.086,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:28.359,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:28.634,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:28.911,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:29.186,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:29.461,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:29.729,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:29.993,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
2020-03-24 13:44:30.264,290.0,4.32,300.0,2.34,1252.8000000000002,-702.0
