,time,price_back,size_back,price_lay,size_lay,total_back,total_lay,trade
58,2020-03-24 13:44:30.531,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
59,2020-03-24 13:44:30.809,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
60,2020-03-24 13:44:31.082,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
61,2020-03-24 13:44:31.355,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
62,2020-03-24 13:44:31.623,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
63,2020-03-24 13:44:31.893,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
64,2020-03-24 13:44:32.162,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
65,2020-03-24 13:44:32.436,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
66,2020-03-24 13:44:32.711,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
67,2020-03-24 13:44:32.983,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
68,2020-03-24 13:44:33.226,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
69,2020-03-24 13:44:33.461,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
70,2020-03-24 13:44:33.727,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
71,2020-03-24 13:44:33.996,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
72,2020-03-24 13:44:34.267,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
73,2020-03-24 13:44:34.536,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
74,2020-03-24 13:44:34.808,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
75,2020-03-24 13:44:35.080,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
76,2020-03-24 13:44:35.349,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
77,2020-03-24 13:44:35.618,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
78,2020-03-24 13:44:35.892,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
79,2020-03-24 13:44:36.154,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
80,2020-03-24 13:44:36.417,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
81,2020-03-24 13:44:36.682,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
82,2020-03-24 13:44:36.951,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
83,2020-03-24 13:44:37.220,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
84,2020-03-24 13:44:37.491,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
85,2020-03-24 13:44:37.762,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
86,2020-03-24 13:44:38.036,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
87,2020-03-24 13:44:38.305,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
88,2020-03-24 13:44:38.574,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
89,2020-03-24 13:44:38.848,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
90,2020-03-24 13:44:39.116,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
91,2020-03-24 13:44:39.382,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
92,2020-03-24 13:44:39.647,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
93,2020-03-24 13:44:39.914,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
94,2020-03-24 13:44:40.187,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
95,2020-03-24 13:44:40.456,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
96,2020-03-24 13:44:40.726,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
97,2020-03-24 13:44:40.986,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
98,2020-03-24 13:44:41.229,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
99,2020-03-24 13:44:41.487,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
100,2020-03-24 13:44:41.754,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
101,2020-03-24 13:44:42.023,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
102,2020-03-24 13:44:42.292,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
103,2020-03-24 13:44:42.564,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
104,2020-03-24 13:44:42.833,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
105,2020-03-24 13:44:43.102,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
106,2020-03-24 13:44:43.373,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
107,2020-03-24 13:44:43.648,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
108,2020-03-24 13:44:43.919,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
109,2020-03-24 13:44:44.192,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
110,2020-03-24 13:44:44.464,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
111,2020-03-24 13:44:44.731,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
112,2020-03-24 13:44:44.998,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
113,2020-03-24 13:44:45.267,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
114,2020-03-24 13:44:45.534,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
115,2020-03-24 13:44:45.807,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
116,2020-03-24 13:44:46.075,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
117,2020-03-24 13:44:46.337,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
118,2020-03-24 13:44:46.602,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
119,2020-03-24 13:44:46.870,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
120,2020-03-24 13:44:47.144,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
121,2020-03-24 13:44:47.415,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
122,2020-03-24 13:44:47.682,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
123,2020-03-24 13:44:47.952,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
124,2020-03-24 13:44:48.223,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
125,2020-03-24 13:44:48.491,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
126,2020-03-24 13:44:48.758,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
127,2020-03-24 13:44:49.031,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
128,2020-03-24 13:44:49.299,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
129,2020-03-24 13:44:49.572,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
130,2020-03-24 13:44:49.842,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
131,2020-03-24 13:44:50.124,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
132,2020-03-24 13:44:50.394,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
133,2020-03-24 13:44:50.667,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
134,2020-03-24 13:44:50.938,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
135,2020-03-24 13:44:51.205,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
136,2020-03-24 13:44:51.473,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
137,2020-03-24 13:44:51.742,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
138,2020-03-24 13:44:52.118,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
139,2020-03-24 13:44:52.382,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
140,2020-03-24 13:44:52.651,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
141,2020-03-24 13:44:52.918,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
142,2020-03-24 13:44:53.185,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
143,2020-03-24 13:44:53.455,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
144,2020-03-24 13:44:53.727,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
145,2020-03-24 13:44:53.998,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
146,2020-03-24 13:44:54.265,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
147,2020-03-24 13:44:54.519,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
148,2020-03-24 13:44:54.785,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
149,2020-03-24 13:44:55.050,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
150,2020-03-24 13:44:55.320,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
151,2020-03-24 13:44:55.587,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
152,2020-03-24 13:44:55.854,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
153,2020-03-24 13:44:56.127,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
154,2020-03-24 13:44:56.393,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
155,2020-03-24 13:44:56.660,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
156,2020-03-24 13:44:56.925,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
157,2020-03-24 13:44:57.195,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
158,2020-03-24 13:44:57.466,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
159,2020-03-24 13:44:57.740,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
160,2020-03-24 13:44:58.005,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
161,2020-03-24 13:44:58.273,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
162,2020-03-24 13:44:58.548,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
163,2020-03-24 13:44:58.819,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
164,2020-03-24 13:44:59.089,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
165,2020-03-24 13:44:59.355,95.0,11.9,100.0,3.15,1130.5,-315.0,0.0
